id,name,ml_target,degree,clustering,eigenvector,pagerank,degree_centrality,k-core
0,Eiryyy,0,1,0.0,4.6933931447992005e-05,5.345941140694154e-06,2.6525902543834053e-05,1
1,shawflying,0,8,0.17857142857142858,0.0009515081279617879,1.663411550151446e-05,0.00021220722035067242,6
2,JpMCarrilho,1,1,0.0,3.596718842063407e-05,5.277679195371786e-06,2.6525902543834053e-05,1
3,SuhwanCha,0,5,0.0,0.00010457264095431012,1.652277241355e-05,0.00013262951271917026,4
4,sunilangadi2,1,2,0.0,8.647310490703674e-06,1.0677839223608846e-05,5.3051805087668106e-05,2
5,j6montoya,0,1,0.0,0.002026696792201716,5.388302079466201e-06,2.6525902543834053e-05,1
6,sfate,0,6,0.3333333333333333,0.004883553219157107,1.208889395299851e-05,0.0001591554152630043,6
7,amituuush,0,8,0.32142857142857145,0.0025926198162247475,1.4269485011817751e-05,0.00021220722035067242,8
8,mauroherlein,0,8,0.75,0.0037746361150234205,1.453048617236448e-05,0.00021220722035067242,8
9,ParadoxZero,0,7,0.23809523809523808,0.00216019301400948,1.9019085838588833e-05,0.00018568131780683837,5
10,llazzaro,0,66,0.07272727272727272,0.012228612135823125,9.697668900588504e-05,0.0017507095678930475,28
11,beeva-manueldepaz,0,2,1.0,0.004417623833294213,6.964876581790242e-06,5.3051805087668106e-05,2
12,damianmuti,0,6,0.13333333333333333,0.0007254630938490304,1.3030895118784496e-05,0.0001591554152630043,6
13,apobbati,0,3,0.6666666666666666,0.0029273778758841314,8.297682894302218e-06,7.957770763150216e-05,3
14,hwlv,0,18,0.1895424836601307,0.003116963913415056,2.4732234377052915e-05,0.00047746624578901296,17
15,haroldoramirez,0,18,0.37254901960784315,0.007653117501525762,3.1169919054845966e-05,0.00047746624578901296,17
16,jasonblanchard,0,1,0.0,0.000802669634735843,5.357384358007493e-06,2.6525902543834053e-05,1
17,BahiHussein,0,3,0.0,0.00026823584573038077,7.588174413443636e-06,7.957770763150216e-05,3
18,itsmevanessi,0,3,0.6666666666666666,0.0021879253209166113,8.44839981059442e-06,7.957770763150216e-05,3
19,nwjsmith,0,22,0.11255411255411256,0.002719356160942511,3.576701621105256e-05,0.0005835698559643491,13
20,chengzhipeng,0,4,0.5,0.00038279658615899366,8.58923408915352e-06,0.00010610361017533621,4
21,tiensonqin,0,33,0.12121212121212122,0.0073165455937796026,4.796089596416848e-05,0.0008753547839465238,21
22,pdokas,0,7,0.23809523809523808,0.001810117622602179,1.3416933436590143e-05,0.00018568131780683837,6
23,maxfierke,0,12,0.030303030303030304,0.002947542476522588,2.3201502755459392e-05,0.0003183108305260086,9
24,davidthewatson,0,18,0.1503267973856209,0.003479045112191701,2.8390936320008954e-05,0.00047746624578901296,15
25,kidbai,0,14,0.3956043956043956,0.005429500439440178,2.1457858851883934e-05,0.00037136263561367674,12
26,Micanss,0,7,0.38095238095238093,0.0032260535812821483,1.3334388222553946e-05,0.00018568131780683837,7
27,hepin1989,0,70,0.05300207039337474,0.003012132086697263,0.00010402191880826733,0.0018568131780683837,24
28,ashphy,0,1,0.0,4.470774278044173e-07,7.981994992013827e-06,2.6525902543834053e-05,1
29,soberanes,0,2,1.0,0.003033853205682322,7.019037704065954e-06,5.3051805087668106e-05,2
30,rajatpatel2113,0,6,0.6,0.0027648137458149845,1.190335834216603e-05,0.0001591554152630043,6
31,ehlxr,0,7,0.09523809523809523,0.00252350247103108,1.4242826280525718e-05,0.00018568131780683837,7
32,city292,1,2,0.0,4.8946527280396444e-05,7.52881646435952e-06,5.3051805087668106e-05,2
33,riverphoenix,1,2,1.0,5.041170117363796e-05,7.627824455492647e-06,5.3051805087668106e-05,2
34,AnqiYang,1,4,0.0,5.590071670351846e-05,1.1954696867257965e-05,0.00010610361017533621,4
35,CN-Sean,0,27,0.1737891737891738,0.006898353672035905,3.876165365802995e-05,0.0007161993686835194,22
36,Myoursky,0,23,0.13043478260869565,0.004097419908082706,3.079872493480647e-05,0.0006100957585081832,19
37,ariepratama,1,1,0.0,3.889875270928427e-05,5.348746873279041e-06,2.6525902543834053e-05,1
38,linjunpop,0,127,0.07086614173228346,0.015103648899449098,0.00017089684601868756,0.003368789623066925,32
39,MLoughry,0,1,0.0,0.000395252910888036,5.208298410749786e-06,2.6525902543834053e-05,1
40,bombworm,0,5,0.3,0.003484025254375582,1.125329530069731e-05,0.00013262951271917026,4
41,kmiladi,0,7,0.2857142857142857,0.000290461976212177,1.4144995344393195e-05,0.00018568131780683837,7
42,indreklasn,0,55,0.06127946127946128,0.00841622345904994,8.313398765074163e-05,0.0014589246399108729,27
43,littlexiang,0,8,0.17857142857142858,0.0029979635439832887,1.5132379538871563e-05,0.00021220722035067242,7
44,tannersteele,0,2,0.0,0.0001617019536575858,6.917332242538901e-06,5.3051805087668106e-05,2
45,FantinBibas,0,3,0.0,2.154986202820226e-06,1.8785051687847193e-05,7.957770763150216e-05,2
46,ngothanhtai,0,3,0.3333333333333333,0.0009062700294681839,8.403617841213589e-06,7.957770763150216e-05,3
47,diluga,0,1,0.0,2.6499268947566467e-06,6.3918657712908866e-06,2.6525902543834053e-05,1
48,ForrestPi,0,2,0.0,0.00036822621640856894,6.7854476161804055e-06,5.3051805087668106e-05,2
49,sorenbouma,1,5,0.1,0.00028872932851989834,2.5390818593461553e-05,0.00013262951271917026,3
50,th3brink,0,2,1.0,0.001063362533330422,6.5881306932455395e-06,5.3051805087668106e-05,2
51,damianlajara,0,5,0.1,0.00043151754424377133,1.2994500519951512e-05,0.00013262951271917026,5
52,DQNEO,0,31,0.14623655913978495,0.0035897809419385947,4.638909246948148e-05,0.0008223029788588556,18
53,carloseberhardt,0,2,1.0,0.000396035412428309,6.879551613539653e-06,5.3051805087668106e-05,2
54,moraispgsi,0,1,0.0,3.231074393541737e-06,7.918695625912192e-06,2.6525902543834053e-05,1
